best_trial_id,best_value,param_name,param_value
22,0.6798229780197144,alpha,0.10060511161375214
22,0.6798229780197144,beta,0.8725602600261494
22,0.6798229780197144,max_depth,2
22,0.6798229780197144,use_gating_mlp,0
22,0.6798229780197144,hidden_dim_expert,8
22,0.6798229780197144,initial_temp,2.0
22,0.6798229780197144,final_temp,0.2
22,0.6798229780197144,anneal_epochs,30
22,0.6798229780197144,schedule_type,linear
22,0.6798229780197144,learning_rate,0.003
22,0.6798229780197144,lradj,cosine
