best_trial_id,best_value,param_name,param_value
157,0.6707661304473876,alpha,0.11873913650478084
157,0.6707661304473876,beta,0.11002190290487146
157,0.6707661304473876,max_depth,2
157,0.6707661304473876,use_gating_mlp,1
157,0.6707661304473876,gating_mlp_hidden,16
157,0.6707661304473876,hidden_dim_expert,32
157,0.6707661304473876,initial_temp,2.0
157,0.6707661304473876,final_temp,0.2
157,0.6707661304473876,anneal_epochs,10
157,0.6707661304473876,schedule_type,linear
157,0.6707661304473876,learning_rate,0.0001
157,0.6707661304473876,lradj,type2
