best_trial_id,best_value,param_name,param_value
195,0.6616982431411743,alpha,0.11781142048022084
195,0.6616982431411743,beta,0.553663479115409
195,0.6616982431411743,max_depth,1
195,0.6616982431411743,use_gating_mlp,1
195,0.6616982431411743,gating_mlp_hidden,16
195,0.6616982431411743,hidden_dim_expert,32
195,0.6616982431411743,initial_temp,2.0
195,0.6616982431411743,final_temp,0.1
195,0.6616982431411743,anneal_epochs,20
195,0.6616982431411743,schedule_type,linear
195,0.6616982431411743,learning_rate,0.001
195,0.6616982431411743,lradj,cosine
