best_trial_id,best_value,param_name,param_value
116,0.6731170883178711,alpha,0.27526663936685825
116,0.6731170883178711,beta,1.1102067284924264
116,0.6731170883178711,max_depth,5
116,0.6731170883178711,use_gating_mlp,0
116,0.6731170883178711,hidden_dim_expert,8
116,0.6731170883178711,initial_temp,1.0
116,0.6731170883178711,final_temp,0.2
116,0.6731170883178711,anneal_epochs,10
116,0.6731170883178711,schedule_type,linear
116,0.6731170883178711,learning_rate,0.003
116,0.6731170883178711,lradj,cosine
