best_trial_id,best_value,param_name,param_value
142,0.6712313184738159,alpha,0.1412786194185331
142,0.6712313184738159,beta,0.21216524342898782
142,0.6712313184738159,max_depth,2
142,0.6712313184738159,use_gating_mlp,0
142,0.6712313184738159,hidden_dim_expert,8
142,0.6712313184738159,initial_temp,2.0
142,0.6712313184738159,final_temp,0.2
142,0.6712313184738159,anneal_epochs,10
142,0.6712313184738159,schedule_type,linear
142,0.6712313184738159,learning_rate,0.003
142,0.6712313184738159,lradj,cosine
