best_trial_id,best_value,param_name,param_value
188,0.682202657699585,alpha,0.4889067361906155
188,0.682202657699585,beta,0.42716009359426377
188,0.682202657699585,max_depth,1
188,0.682202657699585,use_gating_mlp,0
188,0.682202657699585,hidden_dim_expert,32
188,0.682202657699585,initial_temp,2.0
188,0.682202657699585,final_temp,0.2
188,0.682202657699585,anneal_epochs,20
188,0.682202657699585,schedule_type,linear
188,0.682202657699585,learning_rate,0.003
188,0.682202657699585,lradj,cosine
