best_trial_id,best_value,param_name,param_value
140,0.6798309869766236,alpha,0.2192721283945273
140,0.6798309869766236,beta,0.6631293798739043
140,0.6798309869766236,max_depth,1
140,0.6798309869766236,use_gating_mlp,0
140,0.6798309869766236,hidden_dim_expert,32
140,0.6798309869766236,initial_temp,2.0
140,0.6798309869766236,final_temp,0.1
140,0.6798309869766236,anneal_epochs,20
140,0.6798309869766236,schedule_type,linear
140,0.6798309869766236,learning_rate,0.003
140,0.6798309869766236,lradj,type1
