leaf_path,rank,feature_name,score,type,acc_leaf,mcc_leaf,coverage_label0,coverage_label1
root_L,1,Volume_SMA_23,0.009967148303985596,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,2,Volume_SMA_30,0.009858667850494385,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,3,Volume_EMA_24,0.008615314960479736,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,4,ROC_2,0.00823885202407837,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,5,WR_2,0.008152782917022705,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,6,Volume_EMA_30,0.007942259311676025,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,7,Volume_EMA_29,0.007753610610961914,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,8,Volume_SMA_27,0.00752711296081543,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,9,WR_17,0.0075171589851379395,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,10,StoK_4,0.007407188415527344,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,11,Volume_SMA_2,0.006914377212524414,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,12,BBmid_12,0.0068013668060302734,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,13,StoD_24,0.00659632682800293,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,14,CloseStd_25,0.006396055221557617,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,15,CloseStd_29,0.00607830286026001,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,16,Volume_EMA_18,0.005539655685424805,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,17,CloseStd_4,0.005499660968780518,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,18,Volume_EMA_22,0.005476474761962891,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,19,Volume_EMA_7,0.005425453186035156,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,20,ROC_3,0.005263328552246094,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,21,Volume_SMA_8,0.00520634651184082,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,22,CloseStd_2,0.005063295364379883,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,23,CloseStd_5,0.005045175552368164,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,24,Volume_EMA_28,0.004998207092285156,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,25,CCI_10,0.004976511001586914,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,26,Volume_SMA_16,0.0049266815185546875,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,27,CCI_6,0.004717588424682617,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,28,BBdn_24,0.004713535308837891,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,29,Volume_SMA_13,0.004602670669555664,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,30,RSI_18,0.004544258117675781,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,31,StoK_18,0.004537820816040039,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,32,Volume_EMA_8,0.0045223236083984375,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,33,Volume_EMA_2,0.00452113151550293,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,34,CloseStd_18,0.004515647888183594,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,35,WR_4,0.004515647888183594,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,36,Volume_EMA_25,0.004426002502441406,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,37,SMA_25,0.004388332366943359,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,38,Volume_EMA_3,0.004376649856567383,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,39,RSI_24,0.004207611083984375,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,40,SMA_28,0.004205942153930664,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,41,Volume_SMA_19,0.004122495651245117,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,42,BBup_4,0.004021644592285156,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,43,Volume_SMA_10,0.003988981246948242,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,44,Volume_EMA_27,0.0038690567016601562,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,45,ROC_7,0.0038602352142333984,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
root_L,46,CCI_19,0.0038399696350097656,top,0.5430869097588035,0.08372526591398066,71.4433364868164,68.50881958007812
