type,feature_name,importance
gamma_weight,Volume_SMA_2,0.07097494602203369
gamma_weight,ROC_22,0.07082682847976685
gamma_weight,Volume_EMA_27,0.07075148820877075
gamma_weight,StoK_24,0.0707351490855217
gamma_weight,Range_11,0.07071132957935333
gamma_weight,CCI_17,0.0706804096698761
gamma_weight,Volume_EMA_19,0.07065190374851227
gamma_weight,SMA_17,0.07062847167253494
gamma_weight,RSI_16,0.07062265276908875
gamma_weight,StoK_26,0.07060416787862778
gamma_weight,SMA_25,0.07060179114341736
gamma_weight,BBup_21,0.07057678699493408
gamma_weight,BBup_8,0.07052977383136749
gamma_weight,EMA_23,0.07050460577011108
gamma_weight,Volume_SMA_6,0.07049690186977386
gamma_weight,ROC_20,0.07047712057828903
gamma_weight,BBdn_20,0.0704704225063324
gamma_weight,Range_12,0.07043176889419556
gamma_weight,ROC_8,0.07043145596981049
gamma_weight,CloseStd_26,0.07041990756988525
gamma_weight,BBdn_10,0.07037558406591415
gamma_weight,BBdn_4,0.07028747349977493
gamma_weight,SMA_18,0.07021927088499069
gamma_weight,BBup_9,0.0701470673084259
gamma_weight,BBup_11,0.07010304927825928
gamma_weight,EMA_17,0.07010267674922943
gamma_weight,BBmid_30,0.07006492465734482
gamma_weight,Range_9,0.07006243616342545
gamma_weight,CCI_23,0.06994006782770157
gamma_weight,StoD_25,0.06991127878427505
gamma_weight,BBdn_11,0.0698927491903305
gamma_weight,SMA_21,0.06985357403755188
gamma_weight,BBmid_18,0.06984148919582367
gamma_weight,BBmid_8,0.06977571547031403
gamma_weight,SMA_3,0.06972639262676239
gamma_weight,RSI_24,0.06970833986997604
gamma_weight,ROC_11,0.06966996192932129
gamma_weight,ROC_15,0.06966357678174973
gamma_weight,Volume_SMA_5,0.06965020298957825
gamma_weight,WR_3,0.06964606046676636
gamma_weight,WR_10,0.06963495910167694
gamma_weight,CCI_20,0.06962190568447113
gamma_weight,StoD_13,0.06959645450115204
gamma_weight,RSI_26,0.06956657767295837
gamma_weight,BBup_5,0.0695614144206047
gamma_weight,BBdn_19,0.06955678015947342
gamma_weight,SMA_29,0.06955564022064209
gamma_weight,EMA_19,0.06952115893363953
gamma_weight,BBdn_12,0.06940957903862
gamma_weight,CCI_30,0.06939850747585297
gamma_weight,WR_12,0.06936399638652802
gamma_weight,Volume_EMA_11,0.06933435797691345
gamma_weight,ROC_9,0.06930588185787201
gamma_weight,WR_29,0.06925858557224274
gamma_weight,BBup_3,0.06925668567419052
gamma_weight,CloseStd_7,0.06924467533826828
gamma_weight,StoD_5,0.06922440230846405
gamma_weight,ROC_12,0.06918762624263763
gamma_weight,EMA_30,0.06917719542980194
gamma_weight,Range_21,0.06916356086730957
gamma_weight,StoK_3,0.06911216676235199
gamma_weight,StoD_17,0.06910666823387146
gamma_weight,StoK_5,0.06909826397895813
gamma_weight,RSI_11,0.0690971091389656
gamma_weight,WR_30,0.06908762454986572
gamma_weight,BBdn_18,0.06908199936151505
gamma_weight,Volume_SMA_24,0.0690494030714035
gamma_weight,RSI_19,0.06894312798976898
gamma_weight,Range_15,0.06892289221286774
gamma_weight,Volume_SMA_8,0.06889600306749344
gamma_weight,EMA_18,0.06879116594791412
gamma_weight,CloseStd_15,0.06878649443387985
